"No.","Time","Source","Destination","Protocol","Length","Info","Response time"
"20","3.584301400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=129/33024, ttl=116 (request in 19)","6.8047"
"26","4.593848100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=130/33280, ttl=116 (request in 25)","9.1258"
"35","5.602572100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=131/33536, ttl=116 (request in 34)","6.0826"
"42","6.625186400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=132/33792, ttl=116 (request in 41)","6.3053"
"56","7.649944700","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=133/34048, ttl=116 (request in 55)","7.1184"
"71","8.661292600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=134/34304, ttl=116 (request in 70)","11.212"
"76","9.686598400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=135/34560, ttl=116 (request in 75)","22.274"
"104","10.685676900","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=136/34816, ttl=116 (request in 103)","6.6272"
"119","11.700206600","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=137/35072, ttl=116 (request in 118)","6.5586"
"123","12.711619200","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=138/35328, ttl=116 (request in 122)","6.3072"
"127","13.732975100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=139/35584, ttl=116 (request in 126)","6.2585"
"130","14.748977500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=140/35840, ttl=116 (request in 129)","7.3131"
"138","15.774819000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=141/36096, ttl=116 (request in 137)","6.0278"
"143","16.788555400","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=142/36352, ttl=116 (request in 142)","6.2614"
"154","17.806619000","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=143/36608, ttl=116 (request in 153)","7.2556"
"160","18.821301100","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=144/36864, ttl=116 (request in 159)","6.9531"
"167","19.829032500","142.251.221.110","192.168.5.50","ICMP","74","Echo (ping) reply    id=0x0001, seq=145/37120, ttl=116 (request in 166)","7.2962"
