"No.","Time","Source","Destination","Protocol","Length","Info","Response time"
"51","5.829030300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=29/7424, ttl=116 (request in 50)","26.6922"
"75","6.826405800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=30/7680, ttl=116 (request in 74)","7.8701"
"80","7.844892600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=31/7936, ttl=116 (request in 79)","8.9513"
"92","8.862801900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=32/8192, ttl=116 (request in 91)","5.698"
"104","9.885589000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=33/8448, ttl=116 (request in 103)","17.8783"
"113","10.895926600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=34/8704, ttl=116 (request in 112)","7.2158"
"149","11.912545000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=35/8960, ttl=116 (request in 148)","6.8832"
"164","12.930275000","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=36/9216, ttl=116 (request in 163)","5.9999"
"176","13.950657900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=37/9472, ttl=116 (request in 175)","7.1147"
"193","14.991628500","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=38/9728, ttl=116 (request in 192)","29.8236"
"205","15.991394900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=39/9984, ttl=116 (request in 203)","7.864"
"246","17.009685200","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=40/10240, ttl=116 (request in 244)","7.0385"
"258","18.040420900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=41/10496, ttl=116 (request in 255)","7.2318"
"269","19.049610900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=42/10752, ttl=116 (request in 268)","6.8436"
"276","20.070287700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=43/11008, ttl=116 (request in 275)","6.7026"
"294","21.086836800","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=44/11264, ttl=116 (request in 293)","7.2579"
"319","22.107298900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=45/11520, ttl=116 (request in 318)","7.3881"
"325","23.124066700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=46/11776, ttl=116 (request in 324)","6.2142"
"356","24.142906700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=47/12032, ttl=116 (request in 355)","5.7671"
"402","25.163715700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=48/12288, ttl=116 (request in 401)","5.4576"
"442","26.185226900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=49/12544, ttl=116 (request in 441)","6.9921"
"472","27.204450900","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=50/12800, ttl=116 (request in 471)","5.7148"
"477","28.228213300","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=51/13056, ttl=116 (request in 476)","6.0731"
"485","29.246878700","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=52/13312, ttl=116 (request in 484)","6.3637"
"509","30.266170600","142.251.221.110","192.168.5.50","ICMP","78","Echo (ping) reply    id=0x0001, seq=53/13568, ttl=116 (request in 508)","6.4321"
